name,voltage_class,lat,lon
MV/LV Substation JO***226,LV,53.26774597,-6.14669609
MV/LV Substation VA***228X,LV,53.27056885,-6.20347738
MV/LV Substation ST***229,LV,53.29432678,-6.13843584
MV/LV Substation LO***229X,LV,53.25008774,-6.13274574
MV/LV Substation KI***230,LV,53.28767395,-6.20814323
MV/LV Substation ME***230X,LV,53.31280136,-6.20527458
MV/LV Substation BE***231,LV,53.27537537,-6.12695122
MV/LV Substation CH***231X,LV,53.2462883,-6.14783335
MV/LV Substation KI***232,LV,53.269207,-6.11247063
MV/LV Substation PA***233,LV,53.29642868,-6.19808674
MV/LV Substation HY***234,LV,53.28120804,-6.11003733
MV/LV Substation AI***235,LV,53.31367493,-6.22944164
MV/LV Substation DU***235X,LV,53.28212357,-6.25731659
MV/LV Substation SI***236,LV,53.282444,-6.13127518
MV/LV Substation TH***236X,LV,53.29436874,-6.14062357
MV/LV Substation AL***237,LV,53.28250122,-6.11894703
MV/LV Substation RO***237X,LV,53.29228592,-6.13433981
MV/LV Substation TA***238,LV,53.27040482,-6.13274479
MV/LV Substation LO***239,LV,53.27404785,-6.11534548
MV/LV Substation OU***239X,LV,53.29990768,-6.23347664
MV/LV Substation LU***240,LV,53.28159714,-6.10678148
MV/LV Substation AV***241,LV,53.27140427,-6.12715435
MV/LV Substation VA***241X,LV,53.27060318,-6.20341587
MV/LV Substation HI***242,LV,53.27335739,-6.13177681
MV/LV Substation CE***242X,LV,53.27012253,-6.20607424
MV/LV Substation SP***243,LV,53.28422928,-6.17184925
MV/LV Substation DU***245,LV,53.26628494,-6.15963459
MV/LV Substation LE***247,LV,53.27913666,-6.19605589
MV/LV Substation LE***248,LV,53.27761841,-6.1938262
MV/LV Substation LE***249,LV,53.27526474,-6.19494486
MV/LV Substation GR***250,LV,53.26848221,-6.14203215
MV/LV Substation CH***251,LV,53.26156998,-6.13326454
MV/LV Substation KI***252,LV,53.2634697,-6.13504076
MV/LV Substation MO***254,LV,53.30829239,-6.21439123
MV/LV Substation WA***255,LV,53.29769897,-6.1882534
MV/LV Substation GL***256,LV,53.27656555,-6.1358943
MV/LV Substation DU***257,LV,53.27916336,-6.13434172
MV/LV Substation SW***260,LV,53.28601837,-6.22050905
MV/LV Substation BE***261,LV,53.27322769,-6.16405869
MV/LV Substation BE***262,LV,53.27087021,-6.16374016
MV/LV Substation SO***263,LV,53.26834488,-6.16020584
MV/LV Substation SI***264,LV,53.30163956,-6.18721676
MV/LV Substation AU***266,LV,53.26647949,-6.14151955
MV/LV Substation GR***267,LV,53.26421356,-6.1432066
MV/LV Substation WO***268,LV,53.26565552,-6.14515257
MV/LV Substation UL***269,LV,53.28996277,-6.19246531
MV/LV Substation ME***270,LV,53.31653595,-6.20504284
MV/LV Substation LA***271,LV,53.28327942,-6.21409988
MV/LV Substation LA***272,LV,53.28324127,-6.21818018
MV/LV Substation FA***274,LV,53.29197311,-6.23596382
MV/LV Substation FA***275,LV,53.29463196,-6.23540449
MV/LV Substation ST***276,LV,53.25175476,-6.13881683
MV/LV Substation ST***280,LV,53.29475403,-6.20255232
MV/LV Substation AN***282,LV,53.27236938,-6.12036657
MV/LV Substation SP***283,LV,53.27617264,-6.1573658
MV/LV Substation OU***285,LV,53.28440475,-6.10812664
MV/LV Substation AS***286,LV,53.25283432,-6.13373518
MV/LV Substation MI***287,LV,53.25298691,-6.11723089
MV/LV Substation HY***288,LV,53.29919434,-6.19246531
MV/LV Substation ED***290,LV,53.28551483,-6.12787199
MV/LV Substation MA***291,LV,53.30128098,-6.17791605
MV/LV Substation VI***292,LV,53.27059937,-6.09663916
MV/LV Substation DA***294,LV,53.28202057,-6.17660666
MV/LV Substation DE***297,LV,53.27841187,-6.16289186
MV/LV Substation OA***298,LV,53.25184631,-6.13091612
MV/LV Substation GO***299,LV,53.25424194,-6.1324749
MV/LV Substation RO***300,LV,53.28778458,-6.16575861
MV/LV Substation SA***302,LV,53.28733826,-6.11359072
MV/LV Substation RU***304,LV,53.27809525,-6.15513897
MV/LV Substation SU***306,LV,53.29753876,-6.24720907
MV/LV Substation HA***307,LV,53.28016281,-6.10186672
MV/LV Substation CL***308,LV,53.27634811,-6.09701347
MV/LV Substation PA***310,LV,53.28105164,-6.17210484
MV/LV Substation FO***312,LV,53.27720642,-6.17027473
MV/LV Substation DA***313,LV,53.25344086,-6.12945318
MV/LV Substation ST***314,LV,53.29091263,-6.22985888
MV/LV Substation ST***315,LV,53.28686905,-6.20402288
MV/LV Substation CL***316,LV,53.26194763,-6.17142105
MV/LV Substation HA***317,LV,53.26409149,-6.17591619
MV/LV Substation MO***319,LV,53.26612854,-6.15462017
MV/LV Substation MO***320,LV,53.26797104,-6.15352154
MV/LV Substation WY***323,LV,53.25046539,-6.13613081
MV/LV Substation SH***326,LV,53.26050186,-6.14708424
MV/LV Substation BE***327,LV,53.26817322,-6.13709927
MV/LV Substation DO***328,LV,53.26253891,-6.14110613
MV/LV Substation TH***329,LV,53.29972839,-6.20820856
MV/LV Substation PA***330,LV,53.26943207,-6.13553047
MV/LV Substation CU***331,LV,53.27476501,-6.1044445
MV/LV Substation GR***332,LV,53.27890778,-6.17916822
MV/LV Substation GA***333,LV,53.28419113,-6.17736912
MV/LV Substation RA***334,LV,53.25701904,-6.13013601
MV/LV Substation ME***336,LV,53.25244904,-6.14070463
MV/LV Substation SU***338,LV,53.28955841,-6.20002604
MV/LV Substation AR***339,LV,53.2898674,-6.20146751
MV/LV Substation CA***341,LV,53.2959938,-6.18657064
MV/LV Substation AV***343,LV,53.26828003,-6.13241768
MV/LV Substation PA***347,LV,53.29211426,-6.15212011
MV/LV Substation MO***349,LV,53.28545761,-6.15287209
MV/LV Substation KY***350,LV,53.26072311,-6.12973452
MV/LV Substation ST***351,LV,53.28022766,-6.12014151
MV/LV Substation HO***353,LV,53.28440094,-6.13768244
MV/LV Substation SL***355,LV,53.29305649,-6.14621496
MV/LV Substation CR***357,LV,53.307621,-6.19826078
MV/LV Substation ST***358,LV,53.2929039,-6.14173698
MV/LV Substation GA***359,LV,53.29252625,-6.17063999
MV/LV Substation ME***360,LV,53.30438614,-6.21152353
MV/LV Substation CL***361,LV,53.29133987,-6.21448374
MV/LV Substation CR***362,LV,53.2959137,-6.14166641
MV/LV Substation MO***363,LV,53.29553604,-6.16787148
MV/LV Substation UL***364,LV,53.27876282,-6.108181
MV/LV Substation TI***365,LV,53.29026413,-6.14063692
MV/LV Substation TO***366,LV,53.27298737,-6.15496922
MV/LV Substation CA***368,LV,53.27205658,-6.17140961
MV/LV Substation KI***369,LV,53.27722931,-6.12665987
MV/LV Substation O ***371,LV,53.27701187,-6.14562035
MV/LV Substation TH***372,LV,53.27568817,-6.15866089
MV/LV Substation CL***374,LV,53.28983307,-6.13143253
MV/LV Substation ST***375,LV,53.28347778,-6.16615295
MV/LV Substation WI***376,LV,53.30616379,-6.19755697
MV/LV Substation MA***377,LV,53.30023956,-6.17221498
MV/LV Substation ME***378,LV,53.28401184,-6.19994402
MV/LV Substation NO***380,LV,53.28898621,-6.13647842
MV/LV Substation LI***381,LV,53.29337692,-6.19401598
MV/LV Substation BA***391,LV,53.26742554,-6.12313175
MV/LV Substation KI***392,LV,53.25438309,-6.12425709
MV/LV Substation BL***393,LV,53.30378723,-6.1907711
MV/LV Substation GE***399,LV,53.2914238,-6.13560724
MV/LV Substation CA***4007,LV,53.25307846,-6.16399288
MV/LV Substation BR***4009,LV,53.25415802,-6.16755772
MV/LV Substation KE***4011,LV,53.27766418,-6.1533432
MV/LV Substation NA***4012,LV,53.27885437,-6.15248251
MV/LV Substation BR***4013,LV,53.27606201,-6.19912386
MV/LV Substation LE***4016,LV,53.24651337,-6.13011503
MV/LV Substation RO***4024,LV,53.28274536,-6.14489222
MV/LV Substation CA***4025,LV,53.28399277,-6.11160898
MV/LV Substation ID***4028,LV,53.30091476,-6.17524672
MV/LV Substation VA***4029,LV,53.27679825,-6.199018
MV/LV Substation BA***4031,LV,53.27108002,-6.20350075
MV/LV Substation BA***4032,LV,53.27111435,-6.20340919
MV/LV Substation AU***4033,LV,53.26535416,-6.1372366
MV/LV Substation SA***4035,LV,53.28952026,-6.16803885
MV/LV Substation E ***4038,LV,53.25262833,-6.16919661
MV/LV Substation AI***4039,LV,53.28827667,-6.232862
MV/LV Substation CL***4041,LV,53.2697525,-6.15827131
MV/LV Substation DU***4044,LV,53.2923584,-6.13447189
MV/LV Substation HO***4045,LV,53.28099442,-6.14394855
MV/LV Substation AR***4046,LV,53.29837036,-6.17966032
MV/LV Substation TH***4047,LV,53.23639297,-6.12368107
MV/LV Substation ST***4051,LV,53.28404236,-6.20499611
MV/LV Substation PA***4052,LV,53.28227615,-6.14473248
MV/LV Substation BR***4053,LV,53.27874756,-6.14783907
MV/LV Substation UC***4054,LV,53.3038559,-6.22222757
MV/LV Substation NE***4055,LV,53.28907013,-6.17389202
MV/LV Substation SO***4056,LV,53.29994965,-6.23152494
MV/LV Substation CL***4058,LV,53.27164841,-6.12559986
MV/LV Substation PR***4061,LV,53.27067184,-6.20509195
MV/LV Substation PR***4062,LV,53.27052307,-6.20529318
MV/LV Substation AR***4063,LV,53.29580688,-6.22727156
MV/LV Substation WO***4064,LV,53.23631668,-6.12688971
MV/LV Substation AL***4065,LV,53.25139618,-6.12179565
MV/LV Substation KI***4066,LV,53.26828384,-6.17575264
MV/LV Substation RO***4067,LV,53.28632355,-6.14038801
MV/LV Substation NE***4068,LV,53.28746414,-6.17697477
MV/LV Substation DA***4070,LV,53.27061844,-6.11654568
MV/LV Substation LI***4072,LV,53.27864838,-6.137393
MV/LV Substation SI***4073,LV,53.24455643,-6.13469458
MV/LV Substation KN***4074,LV,53.29483414,-6.2229619
MV/LV Substation HI***4075,LV,53.24306488,-6.14807749
