location_id,lat,lon,traffic_volume,charger_count_nearby,renewable_score,road_density,ev_penetration_proxy
1124,53.296715,-6.204066,1895.94,3,0.4102,20,0.049
6000,53.279287,-6.210832,987.26,3,0.4102,67,0.049
6001,53.293577,-6.201737,1917.98,5,0.4102,9,0.049
6002,53.293486,-6.201812,1975.5,5,0.4102,10,0.049
6003,53.282363,-6.193424,1467.48,0,0.4102,2,0.049
6004,53.274359,-6.176242,1501.59,0,0.4102,4,0.049
6005,53.302484,-6.207636,1797.44,1,0.4102,37,0.049
6006,53.273556,-6.17352,1501.62,0,0.4102,5,0.049
6007,53.272355,-6.1713,1260.74,0,0.4102,9,0.049
6008,53.289368,-6.195448,1656.23,2,0.4102,44,0.049
6009,53.270594,-6.167395,1218.82,0,0.4102,7,0.049
6010,53.266283,-6.158402,1267.02,0,0.4102,14,0.049
6011,53.261763,-6.149436,1991.69,2,0.4102,26,0.049
6013,53.260949,-6.150655,333.15,2,0.4102,24,0.049
6014,53.280131,-6.189365,686.68,0,0.4102,8,0.049
6015,53.264988,-6.159705,481.78,0,0.4102,17,0.049
6016,53.258302,-6.146147,0.0,2,0.4102,10,0.049
6017,53.250585,-6.141347,1342.74,0,0.4102,16,0.049
6019,53.299635,-6.205452,1749.42,2,0.4102,34,0.049
6020,53.300957,-6.180171,1056.69,2,0.4102,44,0.049
6021,53.302397,-6.182961,1196.97,2,0.4102,36,0.049
6022,53.301896,-6.181625,1274.76,2,0.4102,35,0.049
6023,53.300204,-6.178878,1344.49,2,0.4102,46,0.049
6024,53.299163,-6.174485,1132.72,2,0.4102,50,0.049
6025,53.297385,-6.170798,1221.96,0,0.4102,35,0.049
6026,53.298612,-6.17042,338.41,0,0.4102,32,0.049
6027,53.296291,-6.170035,1361.11,0,0.4102,36,0.049
6028,53.294448,-6.169087,969.98,0,0.4102,34,0.049
6029,53.276588,-6.221272,1804.99,0,0.4102,62,0.049
6030,53.305065,-6.18768,1011.91,0,0.4102,17,0.049
6031,53.308875,-6.195946,882.3,2,0.4102,23,0.049
6032,53.311503,-6.20117,1070.49,2,0.4102,25,0.049
6033,53.299138,-6.219206,671.62,0,0.4102,14,0.049
6034,53.274024,-6.204244,810.73,7,0.4102,48,0.049
6035,53.277306,-6.219613,922.39,0,0.4102,65,0.049
6036,53.279078,-6.216732,486.36,3,0.4102,85,0.049
6038,53.301468,-6.213943,686.1,0,0.4102,29,0.049
6039,53.275612,-6.229443,680.48,0,0.4102,21,0.049
6040,53.247823,-6.138433,764.04,1,0.4102,46,0.049
6041,53.246493,-6.138492,2790.94,1,0.4102,48,0.049
6042,53.247451,-6.136852,1338.56,1,0.4102,41,0.049
6043,53.249243,-6.134648,1212.62,1,0.4102,45,0.049
6044,53.250165,-6.133746,1291.7,1,0.4102,41,0.049
6045,53.251396,-6.132548,1365.87,0,0.4102,37,0.049
6046,53.254229,-6.130456,805.18,0,0.4102,45,0.049
6047,53.257248,-6.128312,943.34,0,0.4102,36,0.049
6048,53.278474,-6.185137,2086.55,0,0.4102,8,0.049
6049,53.269733,-6.141095,614.13,0,0.4102,12,0.049
6051,53.309551,-6.217407,251.78,0,0.4102,12,0.049
6052,53.28082,-6.158061,1691.03,0,0.4102,35,0.049
6053,53.279868,-6.157883,603.63,1,0.4102,37,0.049
6054,53.278008,-6.16385,778.99,1,0.4102,31,0.049
6055,53.291761,-6.265562,623.4,0,0.4102,14,0.049
6056,53.291782,-6.269053,1074.76,0,0.4102,9,0.049
6057,53.313104,-6.238721,731.75,0,0.4102,23,0.049
6058,53.313452,-6.238013,467.69,0,0.4102,23,0.049
6059,53.288542,-6.145521,1264.82,0,0.4102,14,0.049
6060,53.287145,-6.157711,810.34,0,0.4102,34,0.049
6061,53.300808,-6.188686,837.87,0,0.4102,15,0.049
6063,53.288898,-6.198275,699.02,2,0.4102,54,0.049
6064,53.271981,-6.152445,385.56,0,0.4102,19,0.049
6065,53.273125,-6.19847,1200.89,1,0.4102,32,0.049
6066,53.273057,-6.200947,2421.3,7,0.4102,34,0.049
6067,53.260805,-6.205541,528.39,0,0.4102,24,0.049
6068,53.258494,-6.199057,644.77,0,0.4102,11,0.049
6069,53.257715,-6.196984,622.78,0,0.4102,11,0.049
6070,53.256154,-6.189979,535.53,0,0.4102,11,0.049
6072,53.255178,-6.18521,536.3,3,0.4102,18,0.049
6073,53.300902,-6.176984,1574.02,2,0.4102,43,0.049
6074,53.293723,-6.248411,874.66,1,0.4102,39,0.049
6075,53.293257,-6.246017,1035.35,2,0.4102,47,0.049
6076,53.292291,-6.246505,754.42,2,0.4102,65,0.049
6077,53.249243,-6.134648,1080.59,1,0.4102,45,0.049
6080,53.282779,-6.233981,0.0,0,0.4102,26,0.049
6082,53.277668,-6.230731,889.77,0,0.4102,12,0.049
6083,53.29372,-6.27569,338.7,0,0.4102,16,0.049
6084,53.265263,-6.229214,341.15,0,0.4102,18,0.049
6085,53.286675,-6.225912,1079.75,0,0.4102,32,0.049
6086,53.288838,-6.226264,910.78,0,0.4102,34,0.049
6087,53.272054,-6.203906,1583.87,5,0.4102,28,0.049
6088,53.292759,-6.229445,1938.02,0,0.4102,44,0.049
6089,53.274114,-6.243506,1020.64,0,0.4102,34,0.049
6092,53.302759,-6.233434,979.48,0,0.4102,14,0.049
6093,53.305566,-6.236784,1010.74,0,0.4102,26,0.049
6094,53.307683,-6.236859,979.29,0,0.4102,24,0.049
6095,53.282535,-6.224805,725.38,0,0.4102,19,0.049
6096,53.280343,-6.214346,510.52,3,0.4102,57,0.049
6100,53.287915,-6.138494,205.09,0,0.4102,6,0.049
6101,53.26319,-6.148383,881.8,2,0.4102,32,0.049
6102,53.289307,-6.180824,860.18,0,0.4102,28,0.049
6103,53.28915,-6.174804,1027.72,0,0.4102,31,0.049
6104,53.286153,-6.167486,982.2,1,0.4102,33,0.049
6105,53.28781,-6.171259,466.79,0,0.4102,29,0.049
6106,53.289353,-6.176755,246.61,0,0.4102,30,0.049
6109,53.264716,-6.133623,2284.55,0,0.4102,30,0.049
6110,53.285792,-6.123908,315.1,0,0.4102,25,0.049
6111,53.285103,-6.118942,370.73,0,0.4102,20,0.049
6116,53.272805,-6.243797,403.29,0,0.4102,31,0.049
6119,53.274337,-6.255525,727.11,1,0.4102,19,0.049
6121,53.278121,-6.244692,359.57,0,0.4102,30,0.049
6126,53.262765,-6.211763,671.54,0,0.4102,26,0.049
6128,53.287624,-6.25648,605.04,0,0.4102,4,0.049
6130,53.301755,-6.177937,168.24,2,0.4102,43,0.049
6135,53.277874,-6.206586,662.31,2,0.4102,65,0.049
6138,53.303823,-6.198792,477.38,0,0.4102,3,0.049
6141,53.302538,-6.267271,755.87,0,0.4102,19,0.049
6144,53.245551,-6.134821,1519.36,1,0.4102,34,0.049
6148,53.258,-6.170409,1592.67,0,0.4102,30,0.049
6151,53.275685,-6.208675,573.69,2,0.4102,70,0.049
6154,53.297384,-6.180605,600.67,0,0.4102,32,0.049
6158,53.279356,-6.135693,587.06,2,0.4102,33,0.049
6160,53.294979,-6.254928,1110.25,0,0.4102,28,0.049
6161,53.299187,-6.253649,537.62,0,0.4102,18,0.049
6162,53.294208,-6.250604,257.09,0,0.4102,50,0.049
6167,53.312099,-6.238765,293.66,0,0.4102,27,0.049
6172,53.290984,-6.166624,529.66,0,0.4102,23,0.049
6175,53.235503,-6.126239,711.48,1,0.4102,34,0.049
6179,53.289107,-6.243377,195.22,4,0.4102,72,0.049
6180,53.305432,-6.245619,842.98,0,0.4102,15,0.049
6183,53.290704,-6.245177,231.29,2,0.4102,69,0.049
6187,53.2629,-6.227561,483.85,0,0.4102,17,0.049
6188,53.235126,-6.192342,400.12,0,0.4102,20,0.049
6189,53.252996,-6.214312,915.28,0,0.4102,15,0.049
6190,53.294912,-6.142663,525.58,2,0.4102,24,0.049
6191,53.289313,-6.129567,693.42,1,0.4102,22,0.049
6192,53.29234,-6.135919,386.97,4,0.4102,30,0.049
6194,53.287194,-6.123498,359.13,0,0.4102,26,0.049
6195,53.286514,-6.131576,1989.15,0,0.4102,16,0.049
6202,53.298773,-6.233715,898.37,0,0.4102,6,0.049
6203,53.30021,-6.233276,287.14,0,0.4102,7,0.049
6205,53.27667,-6.265001,1449.71,1,0.4102,33,0.049
6207,53.27927,-6.26971,719.01,1,0.4102,23,0.049
6208,53.271755,-6.249152,605.09,1,0.4102,37,0.049
6209,53.269493,-6.262355,920.47,0,0.4102,5,0.049
6210,53.267324,-6.148131,738.49,0,0.4102,25,0.049
6211,53.264565,-6.148085,728.97,1,0.4102,33,0.049
6215,53.289017,-6.222696,304.74,0,0.4102,28,0.049
6216,53.288519,-6.204163,544.8,2,0.4102,65,0.049
6219,53.289098,-6.207821,1191.72,0,0.4102,54,0.049
6220,53.289528,-6.234675,962.28,1,0.4102,46,0.049
6221,53.288271,-6.207572,0.0,0,0.4102,66,0.049
6222,53.289558,-6.23929,200.42,5,0.4102,67,0.049
6225,53.274408,-6.193026,1573.45,0,0.4102,16,0.049
6226,53.271855,-6.205364,1621.24,5,0.4102,39,0.049
6229,53.294496,-6.133868,412.91,4,0.4102,28,0.049
6235,53.293788,-6.154621,690.6,0,0.4102,11,0.049
6240,53.268046,-6.220112,1029.01,0,0.4102,48,0.049
6241,53.287278,-6.176072,1105.77,0,0.4102,29,0.049
6242,53.288029,-6.180689,226.38,0,0.4102,27,0.049
6244,53.289372,-6.125491,41.16,1,0.4102,25,0.049
6245,53.287845,-6.122731,72.31,0,0.4102,25,0.049
6247,53.292839,-6.273191,840.5,0,0.4102,7,0.049
6257,53.291182,-6.128521,237.51,1,0.4102,23,0.049
6258,53.2926,-6.129968,93.22,3,0.4102,30,0.049
6260,53.270628,-6.1431,1693.9,0,0.4102,12,0.049
6267,53.277424,-6.141212,548.09,2,0.4102,27,0.049
6268,53.294581,-6.151521,143.8,0,0.4102,11,0.049
6270,53.285942,-6.115525,234.67,0,0.4102,21,0.049
6272,53.271288,-6.228475,1017.11,0,0.4102,24,0.049
6277,53.297143,-6.160173,159.91,0,0.4102,2,0.049
6278,53.298399,-6.165274,173.85,0,0.4102,22,0.049
6279,53.234402,-6.123215,451.19,3,0.4102,32,0.049
6280,53.242202,-6.121509,432.27,0,0.4102,22,0.049
6284,53.309064,-6.218379,501.67,0,0.4102,12,0.049
6288,53.291455,-6.241002,443.23,2,0.4102,74,0.049
6289,53.291434,-6.233571,670.76,1,0.4102,42,0.049
6291,53.287566,-6.137246,800.67,0,0.4102,7,0.049
6297,53.286248,-6.237332,593.78,3,0.4102,48,0.049
6299,53.289382,-6.236199,890.23,3,0.4102,42,0.049
6300,53.264869,-6.210815,655.16,0,0.4102,27,0.049
6301,53.251056,-6.156196,38.07,0,0.4102,15,0.049
6306,53.295352,-6.25702,1186.02,0,0.4102,25,0.049
6309,53.283491,-6.146155,892.86,3,0.4102,39,0.049
6310,53.283172,-6.146855,717.12,3,0.4102,37,0.049
6312,53.262593,-6.210321,823.47,0,0.4102,27,0.049
6313,53.26972,-6.21175,967.05,4,0.4102,15,0.049
6315,53.271009,-6.211075,1867.61,4,0.4102,15,0.049
6319,53.288248,-6.242196,198.8,5,0.4102,78,0.049
6344,53.274471,-6.149023,262.43,0,0.4102,24,0.049
6345,53.303544,-6.270968,737.13,0,0.4102,19,0.049
6350,53.239403,-6.196347,626.47,0,0.4102,9,0.049
6352,53.282388,-6.142342,2154.56,3,0.4102,48,0.049
6360,53.244677,-6.141962,1365.24,0,0.4102,57,0.049
6361,53.24633,-6.144692,390.75,0,0.4102,53,0.049
6362,53.252455,-6.158422,12.46,0,0.4102,15,0.049
6363,53.251235,-6.162907,14.74,2,0.4102,10,0.049
6364,53.244144,-6.151818,35.61,0,0.4102,32,0.049
6365,53.244232,-6.155045,79.38,0,0.4102,17,0.049
6366,53.243402,-6.153802,102.92,0,0.4102,18,0.049
6367,53.24504,-6.14911,199.04,0,0.4102,56,0.049
6368,53.24426,-6.14845,317.57,0,0.4102,60,0.049
6370,53.287198,-6.265665,292.76,0,0.4102,15,0.049
6371,53.271892,-6.254048,266.35,1,0.4102,11,0.049
6372,53.294746,-6.153656,115.41,0,0.4102,11,0.049
6373,53.257436,-6.221447,206.22,0,0.4102,11,0.049
6374,53.209599,-6.111462,60.52,0,0.4102,24,0.049
6375,53.288878,-6.205605,331.52,2,0.4102,63,0.049
6376,53.243841,-6.140956,412.54,0,0.4102,55,0.049
6377,53.243187,-6.14031,112.41,0,0.4102,48,0.049
6378,53.22621,-6.125126,219.34,0,0.4102,10,0.049
6379,53.24504,-6.14911,60.17,0,0.4102,56,0.049
6380,53.24923,-6.15107,29.89,0,0.4102,20,0.049
6381,53.24796,-6.14806,167.52,0,0.4102,35,0.049
6382,53.25463,-6.18314,1538.23,3,0.4102,32,0.049
6383,53.24786,-6.1232,1011.27,0,0.4102,30,0.049
6384,53.28759,-6.23748,154.58,3,0.4102,61,0.049
6385,53.260762,-6.226525,475.02,0,0.4102,9,0.049
6386,53.303842,-6.208476,2128.91,1,0.4102,27,0.049
6387,53.267023,-6.20981,620.14,2,0.4102,30,0.049
6388,53.275429,-6.150628,0.0,1,0.4102,23,0.049
6389,53.294634,-6.180239,254.08,0,0.4102,11,0.049
6390,53.278377,-6.222826,340.2,0,0.4102,51,0.049
6391,53.294946,-6.133711,76.96,4,0.4102,28,0.049
6392,53.25463,-6.18314,856.89,3,0.4102,32,0.049
6394,53.296163,-6.141145,815.25,4,0.4102,22,0.049
6395,53.24426,-6.14845,61.02,0,0.4102,60,0.049
6396,53.24786,-6.1232,265.89,0,0.4102,30,0.049
6398,53.28759,-6.23748,275.47,3,0.4102,61,0.049
6400,53.26834,-6.21058,558.65,4,0.4102,18,0.049
6401,53.21839,-6.11979,700.09,0,0.4102,13,0.049
6402,53.2886,-6.21852,269.32,0,0.4102,12,0.049
6404,53.285,-6.1774,330.19,0,0.4102,22,0.049
6406,53.2687,-6.14609,285.74,0,0.4102,25,0.049
