location_id,lat,lon,traffic_volume
1,53.348754,-6.257607,241.52
2,53.354711,-6.246679,1540.22
3,53.351374,-6.250073,833.42
4,53.361145,-6.240513,289.96
5,53.355797,-6.292406,769.61
6,53.334055,-6.245199,952.34
7,53.336815,-6.249116,818.12
8,53.333171,-6.243319,918.68
9,53.361367,-6.242793,1059.56
10,53.3897385,-6.2933413,558.69
11,53.38912341,-6.264819292,1060.14
12,53.378896,-6.266859,788.01
13,53.385948,-6.265175,1110.76
14,53.33773396,-6.219956537,398.47
15,53.385381,-6.233328,614.41
17,53.34823832,-6.254945771,914.95
18,53.36054415,-6.269639,1292.1
19,53.34738731,-6.282360635,314.21
20,53.3499244,-6.2816768,841.78
21,53.351066,-6.270081,1150.87
22,53.3378547,-6.2691474,835.51
23,53.36116,-6.286128,572.52
24,53.33363351,-6.2650364,1696.22
25,53.332574,-6.264879,954.33
26,53.345694,-6.267771,1525.4
27,53.389159,-6.312446,661.1
29,53.352363,-6.259162,221.35
30,53.3478176,-6.346206317,797.56
31,53.3485168,-6.3428132,713.72
32,53.370333,-6.268485,449.99
33,53.33036,-6.260034,1259.07
34,53.3328154,-6.262535,855.32
35,53.3425922,-6.2718384,2498.27
36,53.350115,-6.274547,1203.47
37,53.345614,-6.275764,2663.5
38,53.33223388,-6.275230456,1325.61
39,53.341155,-6.250742,680.81
40,53.362621,-6.252298,872.3
41,53.360331,-6.20969,952.59
42,53.3428159,-6.3169839,1727.8
43,53.3810861,-6.2392187,1078.07
44,53.354362,-6.273197,818.21
45,53.348296,-6.3083626,917.92
46,53.33204294,-6.293480478,1031.66
47,53.33015,-6.298166,1132.38
48,53.344118,-6.26722,769.91
49,53.344169,-6.264473,699.57
50,53.344243,-6.262293,666.72
51,53.309044,-6.2612545,695.62
52,53.3111686,-6.2623423,42.15
53,53.3340368,-6.2991894,889.65
54,53.333527,-6.291346,1319.24
55,53.36070892,-6.260336307,1494.81
56,53.35289385,-6.268331522,1351.47
57,53.357511,-6.263842,1946.03
58,53.356051,-6.265229,1299.1
59,53.359011,-6.261967,2029.19
60,53.35423,-6.266954,1338.51
61,53.359794,-6.26129,1990.55
62,53.324027,-6.328007,1100.79
63,53.3634532,-6.2579679,1282.36
64,53.37582125,-6.250365897,1538.81
65,53.373441,-6.252043,1468.59
66,53.36873,-6.255011,1736.74
67,53.361724,-6.259479,1649.92
69,53.384781,-6.143031,726.78
70,53.33383461,-6.258650514,499.01
71,53.3394751,-6.3212341,865.0
72,53.362856,-6.236443,1049.48
73,53.3641665,-6.229072,1167.37
75,53.3410806,-6.2453218,744.5
76,53.356808,-6.259113,563.63
77,53.33728663,-6.234682657,783.58
78,53.39110787,-6.168162343,1218.33
80,53.37400216,-6.24328512,816.92
81,53.329514,-6.275594,1476.02
82,53.32166648,-6.27912199,860.97
83,53.326407,-6.278056,682.57
84,53.3186632,-6.2789822,997.82
85,53.33246616,-6.26831298,727.39
86,53.37546251,-6.194837575,1082.2
87,53.3661254,-6.2235609,546.41
88,53.38039654,-6.17510658,940.33
90,53.37406085,-6.16458493,676.77
91,53.3901965,-6.2978193,579.21
92,53.33958909,-6.223327707,103.58
93,53.33792415,-6.222511473,374.32
94,53.347604,-6.266148,367.53
95,53.348808,-6.26667,229.5
97,53.319471,-6.290559,848.37
98,53.3122977,-6.2996643,763.74
100,53.3125635,-6.3048974,551.37
101,53.3284819,-6.3437672,651.07
103,53.32822155,-6.245889419,1115.46
104,53.331929,-6.252651,1521.97
105,53.3237,-6.341007,1725.74
106,53.3512644,-6.3529424,775.34
107,53.375512,-6.218754,1678.76
108,53.368508,-6.22635,1215.64
109,53.37992328,-6.210365073,1003.7
110,53.389413,-6.197583,1570.45
111,53.32051834,-6.215500268,978.16
112,53.32881,-6.230326,1207.95
113,53.31886422,-6.2129471,808.88
114,53.326497,-6.224458,1055.7
115,53.338144,-6.253613,464.86
116,53.339619,-6.246438,463.08
117,53.31063183,-6.248174246,800.69
118,53.32511941,-6.24093233,1108.42
119,53.37184485,-6.266551795,740.7
120,53.337665,-6.240624,1038.04
121,53.35739626,-6.25708867,268.53
122,53.35485,-6.268734,416.3
123,53.32344024,-6.260328161,519.94
124,53.326971,-6.342872,1521.9
125,53.36492,-6.308256,1256.28
126,53.341537,-6.27226,1176.61
127,53.36072191,-6.275144249,486.96
128,53.3593471,-6.2585689,922.31
129,53.3584208,-6.2550038,805.94
130,53.3522818,-6.298209,778.05
131,53.3899657,-6.301263742,1329.32
132,53.360634,-6.23904,928.14
133,53.3361191,-6.2385299,1003.34
134,53.332259,-6.235354,800.53
136,53.30694851,-6.269834935,796.67
137,53.32080346,-6.259536597,294.46
138,53.348199,-6.295636,1803.04
139,53.3304294,-6.2838079,795.99
140,53.35442851,-6.263430138,533.29
141,53.354212,-6.256897,1212.22
142,53.33885189,-6.272633191,1703.22
143,53.34350367,-6.24470088,688.21
144,53.342762,-6.241147,767.52
145,53.34351786,-6.246392619,693.2
146,53.34413,-6.249295,1334.1
147,53.32949201,-6.232952178,1367.76
148,53.36253281,-6.272693223,1070.18
149,53.36078483,-6.272678945,1672.08
150,53.36462639,-6.271783924,1184.07
151,53.357216,-6.288761,993.15
152,53.346386,-6.280432,1928.41
153,53.3250988,-6.2546633,681.1
155,53.31189783,-6.274611236,996.53
156,53.31719345,-6.270479733,563.85
157,53.32995,-6.264279,1169.85
158,53.322264,-6.265737,1784.44
159,53.31324322,-6.263829935,507.42
160,53.3415926,-6.23170508,555.56
162,53.3782629,-6.2651203,891.36
163,53.33611851,-6.257122178,958.69
164,53.33759778,-6.262615281,866.91
165,53.31857895,-6.241455135,1015.69
166,53.353031,-6.256035,1375.22
167,53.3336837,-6.2318248,795.29
168,53.3502273,-6.2350137,487.87
170,53.3315539,-6.2834675,802.41
171,53.34061163,-6.307669767,1216.01
172,53.3437098,-6.3080677,3157.07
173,53.3414693,-6.26539315,457.9
174,53.319193,-6.232088,1932.88
175,53.31365381,-6.22239235,1588.05
176,53.33676,-6.3066991,746.85
177,53.32568685,-6.29661575,707.43
178,53.3570282,-6.249742617,1130.52
179,53.38246,-6.244531,2143.84
180,53.387681,-6.244285,811.32
181,53.389748,-6.2462764,915.6
182,53.350749,-6.254447,1086.26
183,53.347487,-6.255009,979.23
184,53.34681537,-6.255125119,769.64
185,53.345899,-6.255148,965.71
187,53.309842,-6.283565,1011.12
188,53.34578996,-6.252119984,245.75
189,53.3340389,-6.3285548,1057.33
190,53.34700658,-6.283928619,1918.64
191,53.34200521,-6.250589226,61.48
192,53.33760485,-6.265788537,1359.25
193,53.345256,-6.272135,1533.26
194,53.3598561,-6.2397428,677.9
196,53.3468383,-6.2589137,951.14
197,53.3475808,-6.2592774,999.03
198,53.34838781,-6.259644159,981.27
199,53.34979793,-6.260258981,363.31
200,53.35194847,-6.261080311,384.04
201,53.35257079,-6.261489034,841.26
202,53.35182721,-6.262915529,859.46
203,53.352744,-6.2489069,313.37
205,53.33973268,-6.265840567,0.01
207,53.3593248,-6.2455657,350.85
208,53.358198,-6.247449,268.21
209,53.3428069,-6.3605731,796.56
210,53.3425553,-6.3576219,0.0
213,53.3902844,-6.287412154,550.53
214,53.38992531,-6.270197332,359.9
215,53.3799114,-6.2658956,671.64
216,53.3686101,-6.2697734,562.31
218,53.3417633,-6.2277364,0.0
219,53.3883477,-6.2653776,21.28
223,53.3608826,-6.1822893,912.58
224,53.3586382,-6.1896509,306.07
226,53.3443123,-6.2597804,1045.27
229,53.3451139,-6.2589401,711.68
230,53.34508689,-6.258870614,305.48
232,53.34575682,-6.257148034,691.72
233,53.388311,-6.2609588,0.0
236,53.3382047,-6.281361792,0.0
238,53.32971758,-6.299594575,1.07
243,53.32150988,-6.23515693,0.0
248,53.3628098,-6.2397045,647.51
249,53.37082162,-6.280146909,803.96
254,53.3401276,-6.2415368,725.09
257,53.33542066,-6.263298166,140.66
258,53.32865946,-6.276215108,0.0
260,53.3361267,-6.269057,0.0
261,53.37103407,-6.205228169,691.78
262,53.38002993,-6.164584671,273.94
264,53.38697262,-6.21497333,586.94
268,53.33435801,-6.255190223,63.61
269,53.34182053,-6.252296383,575.58
271,53.37302291,-6.221667197,0.0
272,53.34435519,-6.26085065,810.78
275,53.31725245,-6.208186305,0.0
276,53.31151758,-6.247890359,0.0
279,53.366691,-6.3136,706.28
280,53.33631886,-6.273147588,906.45
