location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
85,53.332466,-6.268313,727.39,DCC_2024_2025,100.1,1,71,0.049
86,53.375463,-6.194838,1082.2,DCC_2024_2025,85.0,0,20,0.049
87,53.366125,-6.223561,546.41,DCC_2024_2025,82.8,1,52,0.049
88,53.380397,-6.175107,940.33,DCC_2024_2025,83.4,1,25,0.049
90,53.374061,-6.164585,676.77,DCC_2024_2025,187.5,0,2,0.049
91,53.390196,-6.297819,579.21,DCC_2024_2025,97.4,0,39,0.049
92,53.339589,-6.223328,103.58,DCC_2024_2025,122.3,1,51,0.049
93,53.337924,-6.222511,374.32,DCC_2024_2025,71.7,0,52,0.049
94,53.347604,-6.266148,367.53,DCC_2024_2025,84.0,1,148,0.049
95,53.348808,-6.26667,229.5,DCC_2024_2025,71.3,1,121,0.049
97,53.319471,-6.290559,848.37,DCC_2024_2025,62.0,1,19,0.049
98,53.312298,-6.299664,763.74,DCC_2024_2025,62.8,0,25,0.049
100,53.312564,-6.304897,551.37,DCC_2024_2025,125.9,0,27,0.049
101,53.328482,-6.343767,651.07,DCC_2024_2025,9.4,0,34,0.049
103,53.328222,-6.245889,1115.46,DCC_2024_2025,115.0,0,22,0.049
104,53.331929,-6.252651,1521.97,DCC_2024_2025,62.1,2,65,0.049
105,53.3237,-6.341007,1725.74,DCC_2024_2025,118.5,0,48,0.049
106,53.351264,-6.352942,775.34,DCC_2024_2025,61.7,0,31,0.049
107,53.375512,-6.218754,1678.76,DCC_2024_2025,65.1,0,21,0.049
108,53.368508,-6.22635,1215.64,DCC_2024_2025,99.5,0,37,0.049
109,53.379923,-6.210365,1003.7,DCC_2024_2025,137.4,0,19,0.049
110,53.389413,-6.197583,1570.45,DCC_2024_2025,62.3,0,35,0.049
111,53.320518,-6.2155,978.16,DCC_2024_2025,63.1,0,35,0.049
112,53.32881,-6.230326,1207.95,DCC_2024_2025,105.5,0,49,0.049
