rank,lat,lon,cluster,gap_score,ev_penetration,k_value,candidate_percentile
1,53.425378,-6.219091,3,0.7863622047244094,0.12,6,80
2,53.34371,-6.308068,0,0.4311610960173664,0.12,6,80
3,53.272522,-6.219414,1,0.3440488766427964,0.12,6,80
4,53.350749,-6.254447,4,0.3286543399051126,0.12,6,80
5,53.346838,-6.258914,4,0.3078661050890594,0.12,6,80
6,53.352471,-6.224958,5,0.2983638997230371,0.12,6,80
7,53.264716,-6.133623,1,0.27525224012005295,0.12,6,80
8,53.403009,-6.310221,0,0.2705854934181213,0.12,6,80
9,53.405293,-6.265217,5,0.2574535676883758,0.12,6,80
10,53.342592,-6.271838,2,0.24182395383238933,0.12,6,80
11,53.34937,-6.254029,2,0.21908796612284037,0.12,6,80
